"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"39","高知県","39201","高知市","392010001000","相生町","33.564618","133.545765","0","1"
"39","高知県","39201","高知市","392010002000","青柳町","33.555077","133.564955","0","1"
"39","高知県","39201","高知市","392010003000","赤石町","33.557280","133.511038","0","1"
"39","高知県","39201","高知市","392010004001","曙町一丁目","33.550859","133.491799","0","3"
"39","高知県","39201","高知市","392010004002","曙町二丁目","33.549330","133.486354","0","3"
"39","高知県","39201","高知市","392010005000","朝倉己","33.533889","133.488772","0","1"
"39","高知県","39201","高知市","392010006000","朝倉甲","33.540737","133.498317","0","1"
"39","高知県","39201","高知市","392010007000","朝倉丁","33.546103","133.479045","0","1"
"39","高知県","39201","高知市","392010008001","朝倉西町一丁目","33.542124","133.483620","0","3"
"39","高知県","39201","高知市","392010008002","朝倉西町二丁目","33.539358","133.479177","0","3"
"39","高知県","39201","高知市","392010009000","朝倉東町","33.545524","133.497872","0","1"
"39","高知県","39201","高知市","392010010000","朝倉丙","33.553165","133.480227","0","1"
"39","高知県","39201","高知市","392010011000","朝倉戊","33.538002","133.487811","0","1"
"39","高知県","39201","高知市","392010012001","朝倉本町一丁目","33.548097","133.491959","0","3"
"39","高知県","39201","高知市","392010012002","朝倉本町二丁目","33.546228","133.487468","0","3"
"39","高知県","39201","高知市","392010013000","朝倉南町","33.542286","133.494125","0","1"
"39","高知県","39201","高知市","392010014000","朝倉横町","33.545858","133.493040","0","1"
"39","高知県","39201","高知市","392010015000","旭駅前町","33.557600","133.508780","0","1"
"39","高知県","39201","高知市","392010016000","旭上町","33.556801","133.504378","0","1"
"39","高知県","39201","高知市","392010017000","旭天神町","33.561063","133.505452","0","1"
"39","高知県","39201","高知市","392010018001","旭町一丁目","33.556541","133.513653","0","3"
"39","高知県","39201","高知市","392010018002","旭町二丁目","33.555685","133.510717","0","3"
"39","高知県","39201","高知市","392010018003","旭町三丁目","33.556017","133.506404","0","3"
"39","高知県","39201","高知市","392010019000","薊野","33.592491","133.553876","0","1"
"39","高知県","39201","高知市","392010020001","薊野北町一丁目","33.580037","133.550915","0","3"
"39","高知県","39201","高知市","392010020002","薊野北町二丁目","33.581636","133.554952","0","3"
"39","高知県","39201","高知市","392010020003","薊野北町三丁目","33.583775","133.553064","0","3"
"39","高知県","39201","高知市","392010020004","薊野北町四丁目","33.584614","133.559657","0","3"
"39","高知県","39201","高知市","392010021000","薊野中町","33.580123","133.559371","0","1"
"39","高知県","39201","高知市","392010022001","薊野西町一丁目","33.576272","133.549439","0","3"
"39","高知県","39201","高知市","392010022002","薊野西町二丁目","33.575448","133.554145","0","3"
"39","高知県","39201","高知市","392010022003","薊野西町三丁目","33.577402","133.553751","0","3"
"39","高知県","39201","高知市","392010023000","薊野東町","33.581964","133.563298","0","1"
"39","高知県","39201","高知市","392010024000","薊野南町","33.577141","133.560670","0","1"
"39","高知県","39201","高知市","392010025001","愛宕町一丁目","33.566151","133.537041","0","3"
"39","高知県","39201","高知市","392010025002","愛宕町二丁目","33.568313","133.537895","0","3"
"39","高知県","39201","高知市","392010025003","愛宕町三丁目","33.571143","133.537293","0","3"
"39","高知県","39201","高知市","392010025004","愛宕町四丁目","33.573987","133.536724","0","3"
"39","高知県","39201","高知市","392010026000","愛宕山","33.576620","133.537843","0","1"
"39","高知県","39201","高知市","392010027000","愛宕山南町","33.573840","133.539633","0","1"
"39","高知県","39201","高知市","392010028000","井口町","33.558574","133.516272","0","1"
"39","高知県","39201","高知市","392010029000","池","33.529069","133.590469","0","1"
"39","高知県","39201","高知市","392010030000","石立町","33.553175","133.515303","0","1"
"39","高知県","39201","高知市","392010031000","和泉町","33.571799","133.541282","0","1"
"39","高知県","39201","高知市","392010032000","伊勢崎町","33.570452","133.530356","0","1"
"39","高知県","39201","高知市","392010033000","一宮","33.596092","133.573539","0","1"
"39","高知県","39201","高知市","392010034001","一宮しなね一丁目","33.591802","133.573704","0","3"
"39","高知県","39201","高知市","392010034002","一宮しなね二丁目","33.592212","133.577865","0","3"
"39","高知県","39201","高知市","392010035000","一宮徳谷","33.582724","133.582777","0","1"
"39","高知県","39201","高知市","392010036001","一宮中町一丁目","33.583396","133.570406","0","3"
"39","高知県","39201","高知市","392010036002","一宮中町二丁目","33.582485","133.573427","0","3"
"39","高知県","39201","高知市","392010036003","一宮中町三丁目","33.586756","133.575057","0","3"
"39","高知県","39201","高知市","392010037001","一宮西町一丁目","33.584226","133.565498","0","3"
