"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"28","兵庫県","28101","神戸市東灘区","281010001001","御影一丁目","34.720175","135.249919","0","3"
"28","兵庫県","28101","神戸市東灘区","281010001002","御影二丁目","34.722880","135.250769","0","3"
"28","兵庫県","28101","神戸市東灘区","281010001003","御影三丁目","34.721931","135.247407","0","3"
"28","兵庫県","28101","神戸市東灘区","281010002001","渦森台一丁目","34.738867","135.251322","0","3"
"28","兵庫県","28101","神戸市東灘区","281010002002","渦森台二丁目","34.737137","135.249831","0","3"
"28","兵庫県","28101","神戸市東灘区","281010002003","渦森台三丁目","34.738642","135.247655","0","3"
"28","兵庫県","28101","神戸市東灘区","281010002004","渦森台四丁目","34.740452","135.246708","0","3"
"28","兵庫県","28101","神戸市東灘区","281010003001","御影山手一丁目","34.725762","135.252019","0","3"
"28","兵庫県","28101","神戸市東灘区","281010003002","御影山手二丁目","34.724623","135.246466","0","3"
"28","兵庫県","28101","神戸市東灘区","281010003003","御影山手三丁目","34.729075","135.246738","0","3"
"28","兵庫県","28101","神戸市東灘区","281010003004","御影山手四丁目","34.727354","135.245856","0","3"
"28","兵庫県","28101","神戸市東灘区","281010003005","御影山手五丁目","34.726573","135.243568","0","3"
"28","兵庫県","28101","神戸市東灘区","281010003006","御影山手六丁目","34.730575","135.244114","0","3"
"28","兵庫県","28101","神戸市東灘区","281010004001","鴨子ケ原一丁目","34.728017","135.250983","0","3"
"28","兵庫県","28101","神戸市東灘区","281010004002","鴨子ケ原二丁目","34.732869","135.251195","0","3"
"28","兵庫県","28101","神戸市東灘区","281010004003","鴨子ケ原三丁目","34.731524","135.248402","0","3"
"28","兵庫県","28101","神戸市東灘区","281010005001","御影塚町一丁目","34.709448","135.249388","0","3"
"28","兵庫県","28101","神戸市東灘区","281010005002","御影塚町二丁目","34.712320","135.248452","0","3"
"28","兵庫県","28101","神戸市東灘区","281010005003","御影塚町三丁目","34.709363","135.245978","0","3"
"28","兵庫県","28101","神戸市東灘区","281010005004","御影塚町四丁目","34.711630","135.245085","0","3"
"28","兵庫県","28101","神戸市東灘区","281010006000","本山町森","34.757463","135.269564","0","1"
"28","兵庫県","28101","神戸市東灘区","281010007000","魚崎浜町","34.707036","135.280371","0","1"
"28","兵庫県","28101","神戸市東灘区","281010008000","深江浜町","34.711386","135.298052","0","1"
"28","兵庫県","28101","神戸市東灘区","281010009000","住吉浜町","34.704145","135.264167","0","1"
"28","兵庫県","28101","神戸市東灘区","281010010000","御影浜町","34.704035","135.257509","0","1"
"28","兵庫県","28101","神戸市東灘区","281010011001","森北町一丁目","34.731477","135.292728","0","3"
"28","兵庫県","28101","神戸市東灘区","281010011002","森北町二丁目","34.730501","135.289930","0","3"
"28","兵庫県","28101","神戸市東灘区","281010011003","森北町三丁目","34.729816","135.287599","0","3"
"28","兵庫県","28101","神戸市東灘区","281010011004","森北町四丁目","34.731854","135.289467","0","3"
"28","兵庫県","28101","神戸市東灘区","281010011005","森北町五丁目","34.734225","135.291040","0","3"
"28","兵庫県","28101","神戸市東灘区","281010011006","森北町六丁目","34.733830","135.287703","0","3"
"28","兵庫県","28101","神戸市東灘区","281010011007","森北町七丁目","34.738120","135.290246","0","3"
"28","兵庫県","28101","神戸市東灘区","281010012000","本山町中野","34.739053","135.283792","0","1"
"28","兵庫県","28101","神戸市東灘区","281010013000","甲南台","34.734349","135.285215","0","1"
"28","兵庫県","28101","神戸市東灘区","281010014000","本山町田中","34.740741","135.261804","0","1"
"28","兵庫県","28101","神戸市東灘区","281010015000","住吉台","34.739622","135.256869","0","1"
"28","兵庫県","28101","神戸市東灘区","281010016001","住吉山手一丁目","34.726386","135.259897","0","3"
"28","兵庫県","28101","神戸市東灘区","281010016002","住吉山手二丁目","34.726111","135.256331","0","3"
"28","兵庫県","28101","神戸市東灘区","281010016003","住吉山手三丁目","34.728610","135.259232","0","3"
"28","兵庫県","28101","神戸市東灘区","281010016004","住吉山手四丁目","34.728315","135.255263","0","3"
"28","兵庫県","28101","神戸市東灘区","281010016005","住吉山手五丁目","34.731071","135.254619","0","3"
"28","兵庫県","28101","神戸市東灘区","281010016006","住吉山手六丁目","34.733024","135.256742","0","3"
"28","兵庫県","28101","神戸市東灘区","281010016007","住吉山手七丁目","34.734005","135.253763","0","3"
"28","兵庫県","28101","神戸市東灘区","281010016008","住吉山手八丁目","34.737217","135.253063","0","3"
"28","兵庫県","28101","神戸市東灘区","281010016009","住吉山手九丁目","34.741948","135.253199","0","3"
"28","兵庫県","28101","神戸市東灘区","281010017001","深江本町一丁目","34.725112","135.299412","0","3"
"28","兵庫県","28101","神戸市東灘区","281010017002","深江本町二丁目","34.723781","135.296139","0","3"
"28","兵庫県","28101","神戸市東灘区","281010017003","深江本町三丁目","34.722314","135.292800","0","3"
"28","兵庫県","28101","神戸市東灘区","281010017004","深江本町四丁目","34.721261","135.290163","0","3"
"28","兵庫県","28101","神戸市東灘区","281010018001","深江北町一丁目","34.726842","135.298543","0","3"
"28","兵庫県","28101","神戸市東灘区","281010018002","深江北町二丁目","34.725376","135.295398","0","3"
"28","兵庫県","28101","神戸市東灘区","281010018003","深江北町三丁目","34.724367","135.292696","0","3"
"28","兵庫県","28101","神戸市東灘区","281010018004","深江北町四丁目","34.723550","135.290513","0","3"
"28","兵庫県","28101","神戸市東灘区","281010018005","深江北町五丁目","34.722060","135.288581","0","3"
"28","兵庫県","28101","神戸市東灘区","281010019001","本庄町一丁目","34.727736","135.294186","0","3"
"28","兵庫県","28101","神戸市東灘区","281010019002","本庄町二丁目","34.726772","135.291554","0","3"
"28","兵庫県","28101","神戸市東灘区","281010019003","本庄町三丁目","34.726239","135.289212","0","3"
"28","兵庫県","28101","神戸市東灘区","281010020001","本山南町一丁目","34.723493","135.287953","0","3"
"28","兵庫県","28101","神戸市東灘区","281010020002","本山南町二丁目","34.722764","135.285559","0","3"
"28","兵庫県","28101","神戸市東灘区","281010020003","本山南町三丁目","34.721930","135.282732","0","3"
"28","兵庫県","28101","神戸市東灘区","281010020004","本山南町四丁目","34.721099","135.279955","0","3"
"28","兵庫県","28101","神戸市東灘区","281010020005","本山南町五丁目","34.720491","135.276989","0","3"
"28","兵庫県","28101","神戸市東灘区","281010020006","本山南町六丁目","34.725392","135.287094","0","3"
"28","兵庫県","28101","神戸市東灘区","281010020007","本山南町七丁目","34.724673","135.284693","0","3"
"28","兵庫県","28101","神戸市東灘区","281010020008","本山南町八丁目","34.724081","135.282182","0","3"
"28","兵庫県","28101","神戸市東灘区","281010020009","本山南町九丁目","34.723147","135.279056","0","3"
"28","兵庫県","28101","神戸市東灘区","281010021001","本山中町一丁目","34.727877","135.287139","0","3"
"28","兵庫県","28101","神戸市東灘区","281010021002","本山中町二丁目","34.727154","135.284896","0","3"
"28","兵庫県","28101","神戸市東灘区","281010021003","本山中町三丁目","34.726496","135.282612","0","3"
"28","兵庫県","28101","神戸市東灘区","281010021004","本山中町四丁目","34.725736","135.279826","0","3"
"28","兵庫県","28101","神戸市東灘区","281010022001","森南町一丁目","34.729839","135.293520","0","3"
