"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"15","新潟県","15101","新潟市北区","151010015001 ","かぶとやま一丁目","37.927729","139.220899","0","3"
"15","新潟県","15101","新潟市北区","151010015002 ","かぶとやま二丁目","37.930092","139.220020","0","3"
"15","新潟県","15101","新潟市北区","151010042001 ","すみれ野一丁目","37.920511","139.158829","0","3"
"15","新潟県","15101","新潟市北区","151010042002 ","すみれ野二丁目","37.920715","139.161218","0","3"
"15","新潟県","15101","新潟市北区","151010042003 ","すみれ野三丁目","37.917213","139.161392","0","3"
"15","新潟県","15101","新潟市北区","151010042004 ","すみれ野四丁目","37.919681","139.162424","0","3"
"15","新潟県","15101","新潟市北区","151010049001 ","つくし野一丁目","37.927742","139.152942","0","3"
"15","新潟県","15101","新潟市北区","151010049002 ","つくし野二丁目","37.928782","139.157453","0","3"
"15","新潟県","15101","新潟市北区","151010007000 ","浦ノ入","37.953999","139.223546","0","1"
"15","新潟県","15101","新潟市北区","151010006000 ","浦木","37.895333","139.213482","0","1"
"15","新潟県","15101","新潟市北区","151010092000 ","横井","37.936424","139.221428","0","1"
"15","新潟県","15101","新潟市北区","151010093000 ","横越","37.866384","139.185881","0","1"
"15","新潟県","15101","新潟市北区","151010094000 ","横土居","37.964902","139.224256","0","1"
"15","新潟県","15101","新潟市北区","151010013000 ","岡新田","37.869571","139.220550","0","1"
"15","新潟県","15101","新潟市北区","151010033000 ","下早通","37.928869","139.181947","0","1"
"15","新潟県","15101","新潟市北区","151010031000 ","下大谷内","37.944865","139.179042","0","1"
"15","新潟県","15101","新潟市北区","151010032000 ","下土地亀","37.911728","139.198588","0","1"
"15","新潟県","15101","新潟市北区","151010020000 ","嘉山","37.904980","139.226798","0","1"
"15","新潟県","15101","新潟市北区","151010021001 ","嘉山一丁目","37.912620","139.218199","0","3"
"15","新潟県","15101","新潟市北区","151010021002 ","嘉山二丁目","37.911673","139.220501","0","3"
"15","新潟県","15101","新潟市北区","151010021003 ","嘉山三丁目","37.909384","139.222591","0","3"
"15","新潟県","15101","新潟市北区","151010021004 ","嘉山四丁目","37.906809","139.222370","0","3"
"15","新潟県","15101","新潟市北区","151010021005 ","嘉山五丁目","37.907091","139.220343","0","3"
"15","新潟県","15101","新潟市北区","151010021006 ","嘉山六丁目","37.910532","139.218682","0","3"
"15","新潟県","15101","新潟市北区","151010065000 ","灰塚","37.872986","139.180674","0","1"
"15","新潟県","15101","新潟市北区","151010014000 ","笠柳","37.941091","139.228702","0","1"
"15","新潟県","15101","新潟市北区","151010024000 ","葛塚","37.922471","139.206253","0","1"
"15","新潟県","15101","新潟市北区","151010044000 ","高森","37.905501","139.154475","0","1"
"15","新潟県","15101","新潟市北区","151010045000 ","高森新田","37.904872","139.182046","0","1"
"15","新潟県","15101","新潟市北区","151010002001 ","彩野一丁目","37.920445","139.186332","0","3"
"15","新潟県","15101","新潟市北区","151010002002 ","彩野二丁目","37.920130","139.188026","0","3"
"15","新潟県","15101","新潟市北区","151010002003 ","彩野三丁目","37.919818","139.189602","0","3"
"15","新潟県","15101","新潟市北区","151010002004 ","彩野四丁目","37.919464","139.191312","0","3"
"15","新潟県","15101","新潟市北区","151010075000 ","細山","37.895059","139.158119","0","1"
"15","新潟県","15101","新潟市北区","151010026000 ","笹山","37.955174","139.206476","0","1"
"15","新潟県","15101","新潟市北区","151010027000 ","笹山東","37.957509","139.214946","0","1"
"15","新潟県","15101","新潟市北区","151010087000 ","三ツ屋","37.891048","139.162174","0","1"
"15","新潟県","15101","新潟市北区","151010086000 ","三ツ森川原","37.906710","139.157102","0","1"
"15","新潟県","15101","新潟市北区","151010029000 ","三軒屋町","37.948961","139.147464","0","1"
"15","新潟県","15101","新潟市北区","151010091000 ","山飯野","37.873315","139.194659","0","1"
"15","新潟県","15101","新潟市北区","151010034000 ","十二","37.877988","139.196028","0","1"
"15","新潟県","15101","新潟市北区","151010035000 ","十二前","37.867438","139.179622","0","1"
"15","新潟県","15101","新潟市北区","151010025000 ","小杉","37.867285","139.177703","0","1"
"15","新潟県","15101","新潟市北区","151010078000 ","松栄町","37.948087","139.175147","0","1"
"15","新潟県","15101","新潟市北区","151010077000 ","松潟","37.924312","139.171172","0","1"
"15","新潟県","15101","新潟市北区","151010079001 ","松浜一丁目","37.952167","139.145654","0","3"
"15","新潟県","15101","新潟市北区","151010079002 ","松浜二丁目","37.952352","139.142137","0","3"
"15","新潟県","15101","新潟市北区","151010079003 ","松浜三丁目","37.953999","139.141311","0","3"
"15","新潟県","15101","新潟市北区","151010079004 ","松浜四丁目","37.955030","139.145184","0","3"
"15","新潟県","15101","新潟市北区","151010079005 ","松浜五丁目","37.957491","139.144528","0","3"
"15","新潟県","15101","新潟市北区","151010079006 ","松浜六丁目","37.956994","139.140682","0","3"
"15","新潟県","15101","新潟市北区","151010079007 ","松浜七丁目","37.955772","139.137736","0","3"
"15","新潟県","15101","新潟市北区","151010079008 ","松浜八丁目","37.961886","139.143371","0","3"
"15","新潟県","15101","新潟市北区","151010084000 ","松浜みなと","37.960878","139.139484","0","1"
"15","新潟県","15101","新潟市北区","151010080000 ","松浜新町","37.949632","139.150978","0","1"
"15","新潟県","15101","新潟市北区","151010081000 ","松浜町","37.959879","139.133107","0","1"
"15","新潟県","15101","新潟市北区","151010082001 ","松浜東町一丁目","37.951897","139.150979","0","3"
"15","新潟県","15101","新潟市北区","151010082002 ","松浜東町二丁目","37.953911","139.152424","0","3"
"15","新潟県","15101","新潟市北区","151010083001 ","松浜本町一丁目","37.950407","139.147224","0","3"
"15","新潟県","15101","新潟市北区","151010083002 ","松浜本町二丁目","37.948828","139.143410","0","3"
"15","新潟県","15101","新潟市北区","151010083003 ","松浜本町三丁目","37.950413","139.143053","0","3"
"15","新潟県","15101","新潟市北区","151010083004 ","松浜本町四丁目","37.950391","139.139332","0","3"
"15","新潟県","15101","新潟市北区","151010016000 ","上大月","37.867683","139.226884","0","1"
"15","新潟県","15101","新潟市北区","151010017000 ","上土地亀","37.905047","139.211434","0","1"
"15","新潟県","15101","新潟市北区","151010018000 ","上堀田","37.871752","139.204642","0","1"
"15","新潟県","15101","新潟市北区","151010059000 ","新井郷","37.912241","139.184558","0","1"
"15","新潟県","15101","新潟市北区","151010039000 ","新元島町","37.945075","139.144386","0","1"
"15","新潟県","15101","新潟市北区","151010060000 ","新崎","37.917977","139.153241","0","1"
"15","新潟県","15101","新潟市北区","151010061001 ","新崎一丁目","37.922435","139.152211","0","3"
"15","新潟県","15101","新潟市北区","151010061002 ","新崎二丁目","37.924988","139.150932","0","3"
"15","新潟県","15101","新潟市北区","151010061003 ","新崎三丁目","37.925182","139.159914","0","3"
"15","新潟県","15101","新潟市北区","151010038000 ","新鼻","37.900603","139.246777","0","1"
"15","新潟県","15101","新潟市北区","151010037000 ","新富町","37.964480","139.184845","0","1"
"15","新潟県","15101","新潟市北区","151010089000 ","森下","37.908635","139.162009","0","1"
"15","新潟県","15101","新潟市北区","151010019000 ","神谷内","37.953196","139.159488","0","1"
"15","新潟県","15101","新潟市北区","151010040000 ","須戸","37.918032","139.196507","0","1"
"15","新潟県","15101","新潟市北区","151010041001 ","須戸一丁目","37.918902","139.183875","0","3"
"15","新潟県","15101","新潟市北区","151010041002 ","須戸二丁目","37.918426","139.185637","0","3"
"15","新潟県","15101","新潟市北区","151010041003 ","須戸三丁目","37.918277","139.187349","0","3"
"15","新潟県","15101","新潟市北区","151010041004 ","須戸四丁目","37.917863","139.188984","0","3"
"15","新潟県","15101","新潟市北区","151010041005 ","須戸五丁目","37.917394","139.190734","0","3"
"15","新潟県","15101","新潟市北区","151010064000 ","西名目所","37.942114","139.148858","0","1"
"15","新潟県","15101","新潟市北区","151010003001 ","石動一丁目","37.922152","139.214208","0","3"
"15","新潟県","15101","新潟市北区","151010003002 ","石動二丁目","37.923154","139.212880","0","3"
"15","新潟県","15101","新潟市北区","151010022001 ","川西一丁目","37.910908","139.213299","0","3"
"15","新潟県","15101","新潟市北区","151010022002 ","川西二丁目","37.910411","139.216216","0","3"
"15","新潟県","15101","新潟市北区","151010022003 ","川西三丁目","37.908516","139.215888","0","3"
"15","新潟県","15101","新潟市北区","151010022004 ","川西四丁目","37.909886","139.210413","0","3"
"15","新潟県","15101","新潟市北区","151010076000 ","前新田","37.913840","139.235095","0","1"
"15","新潟県","15101","新潟市北区","151010068000 ","早通","37.926049","139.190854","0","1"
"15","新潟県","15101","新潟市北区","151010070001 ","早通南一丁目","37.920472","139.179163","0","3"
"15","新潟県","15101","新潟市北区","151010070002 ","早通南二丁目","37.919290","139.178873","0","3"
"15","新潟県","15101","新潟市北区","151010070003 ","早通南三丁目","37.918289","139.178709","0","3"
"15","新潟県","15101","新潟市北区","151010070004 ","早通南四丁目","37.917577","139.177869","0","3"
"15","新潟県","15101","新潟市北区","151010070005 ","早通南五丁目","37.918589","139.181945","0","3"
