id,bus_route_id,bus_stop_id,bus_stop_number,created_at,updated_at
1,487,1,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
2,306,2,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
3,487,2,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
4,492,2,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
5,499,2,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
6,305,3,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
7,306,3,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
8,310,3,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
9,773,3,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
10,770,3,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
11,492,4,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
12,487,4,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
13,492,5,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
14,487,5,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
15,492,6,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
16,487,6,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
17,771,7,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
18,315,8,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
19,319,8,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
20,320,8,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
21,76,8,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
22,77,8,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
23,312,9,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
24,320,9,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
25,74,9,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
26,75,9,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
27,76,9,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
28,313,10,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
29,314,10,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
30,315,10,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
31,79,10,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
32,74,10,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
33,313,11,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
34,314,11,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
35,315,11,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
36,79,11,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
37,74,11,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
38,321,12,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
39,322,12,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
40,861,12,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
41,864,12,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
42,83,12,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
43,88,12,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
44,982,12,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
45,624,12,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
46,285,13,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
47,863,13,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
48,871,13,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
49,879,13,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
50,878,13,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
51,883,13,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
