bus_stop_id,city,formatted_address
6103,山武郡横芝光町,千葉県山武郡横芝光町尾垂ロ
6104,山武郡横芝光町,千葉県山武郡横芝光町尾垂イ
6105,山武郡横芝光町,千葉県山武郡横芝光町尾垂イ
6106,山武郡横芝光町,千葉県山武郡横芝光町木戸
6107,山武郡横芝光町,千葉県山武郡横芝光町木戸
6108,山武郡横芝光町,千葉県山武郡横芝光町木戸
6109,山武郡横芝光町,千葉県山武郡横芝光町木戸
6110,山武郡横芝光町,千葉県山武郡横芝光町木戸
6111,山武郡横芝光町,千葉県山武郡横芝光町尾垂イ
6112,匝瑳市,千葉県匝瑳市栢田
6113,匝瑳市,千葉県匝瑳市栢田
6114,匝瑳市,千葉県匝瑳市栢田
6115,匝瑳市,千葉県匝瑳市栢田
6116,匝瑳市,千葉県匝瑳市栢田
6117,匝瑳市,千葉県匝瑳市栢田
6118,匝瑳市,千葉県匝瑳市川辺
6119,匝瑳市,千葉県匝瑳市今泉
6120,匝瑳市,千葉県匝瑳市今泉
6121,匝瑳市,千葉県匝瑳市今泉
6122,匝瑳市,千葉県匝瑳市今泉
6123,匝瑳市,千葉県匝瑳市今泉
6124,匝瑳市,千葉県匝瑳市今泉
6125,匝瑳市,千葉県匝瑳市川辺
6126,匝瑳市,千葉県匝瑳市川辺
6127,匝瑳市,千葉県匝瑳市川辺
6128,山武郡横芝光町,千葉県山武郡横芝光町谷中
6129,山武郡横芝光町,千葉県山武郡横芝光町谷中
6130,山武郡横芝光町,千葉県山武郡横芝光町谷中
6131,山武郡横芝光町,千葉県山武郡横芝光町宮川
6132,山武郡横芝光町,千葉県山武郡横芝光町宮川
6133,匝瑳市,千葉県匝瑳市野手
6134,匝瑳市,千葉県匝瑳市野手
6135,山武市,千葉県山武市蓮沼ハ
6136,匝瑳市,千葉県匝瑳市野手
6137,山武郡横芝光町,千葉県山武郡横芝光町尾垂ロ
6138,山武郡横芝光町,千葉県山武郡横芝光町栗山
6139,山武郡横芝光町,千葉県山武郡横芝光町栗山
6140,山武郡横芝光町,千葉県山武郡横芝光町栗山
