id,gml_id,name,latitude,longitude,created_at,updated_at,postal_code,prefecture,city,formatted_address,keyword
1,ED01_1,西下町,34.98509412,139.86044116,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
2,ED01_2,汐留橋,34.9861755,139.86232583,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
3,ED01_3,館山駅前通り,34.99680249,139.86365214,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
4,ED01_4,早物,34.97096139,139.79943412,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
5,ED01_5,西岬小学校前,34.96852041,139.79303695,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
6,ED01_6,小沼,34.95825021,139.79452145,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
7,ED01_7,岩崎,35.0441773,139.85621463,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
8,ED01_8,太海駅,35.08145567,140.0968299,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
9,ED01_9,鴨川駅西口,35.10773588,140.10324049,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
10,ED01_10,天津駅前,35.12554053,140.15489307,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
11,ED01_11,新谷前,35.12346266,140.15353562,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
12,ED01_12,笹,35.22765082,140.07588539,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
13,ED01_13,恋の森,35.37771145,139.94117536,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
14,ED01_14,中央一丁目,35.3848123,139.92204866,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
15,ED01_15,南町,35.38083436,139.92232353,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
16,ED01_16,公園入口,35.38096059,139.93698977,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
17,ED01_17,県職住宅前,35.38260546,139.95991859,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
18,ED01_18,清見台東,35.3870876,139.94823096,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
19,ED01_19,東一丁目,35.38739103,139.95102082,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
20,ED01_20,高専裏,35.38636075,139.95573649,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
21,ED01_21,祇園小前,35.38566261,139.95888829,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
22,ED01_22,畳ヶ池,35.3854035,139.93909227,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
23,ED01_23,袖ヶ浦BT,35.41784441,139.95667873,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
24,ED01_24,袖ヶ浦駅,35.43170141,139.95800454,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
25,ED01_25,福王台,35.42965826,139.95925017,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
26,ED01_26,東京ディズニーランド,35.63662256,139.88136285,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
27,ED01_27,シルク・ドゥ・ソレイユシアター,35.63208184,139.88750315,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
28,ED01_28,東京ディズニーシー,35.62897284,139.88735348,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
29,ED01_29,船橋駅北口,35.70236759,139.98538955,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
30,ED01_30,八幡六丁目,35.72806201,139.93332871,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
31,ED01_31,市川広小路,35.7311114,139.90579494,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
32,ED01_32,藤原六丁目,35.74577223,139.97634278,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
33,ED01_33,大塚ガラス,35.7433246,139.97683365,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
