"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"33","岡山県","33101","岡山市北区","331010001000","葵町","34.669495","133.899370","0","1"
"33","岡山県","33101","岡山市北区","331010002001","青江一丁目","34.634108","133.918142","0","3"
"33","岡山県","33101","岡山市北区","331010002002","青江二丁目","34.633987","133.921695","0","3"
"33","岡山県","33101","岡山市北区","331010002003","青江三丁目","34.633822","133.925130","0","3"
"33","岡山県","33101","岡山市北区","331010002004","青江四丁目","34.630393","133.924395","0","3"
"33","岡山県","33101","岡山市北区","331010002005","青江五丁目","34.630090","133.919500","0","3"
"33","岡山県","33101","岡山市北区","331010003000","旭本町","34.643476","133.929926","0","1"
"33","岡山県","33101","岡山市北区","331010004000","旭町","34.646187","133.927736","0","1"
"33","岡山県","33101","岡山市北区","331010005000","足守","34.729290","133.803348","0","1"
"33","岡山県","33101","岡山市北区","331010006000","天瀬","34.655195","133.928808","0","1"
"33","岡山県","33101","岡山市北区","331010007000","天瀬南町","34.652555","133.928335","0","1"
"33","岡山県","33101","岡山市北区","331010008000","粟井","34.751074","133.773012","0","1"
"33","岡山県","33101","岡山市北区","331010009000","石関町","34.666897","133.931686","0","1"
"33","岡山県","33101","岡山市北区","331010010000","石妻","34.767479","133.846467","0","1"
"33","岡山県","33101","岡山市北区","331010011000","伊島北町","34.680815","133.905030","0","1"
"33","岡山県","33101","岡山市北区","331010012001","伊島町一丁目","34.676454","133.911086","0","3"
"33","岡山県","33101","岡山市北区","331010012002","伊島町二丁目","34.679627","133.910195","0","3"
"33","岡山県","33101","岡山市北区","331010012003","伊島町三丁目","34.677915","133.907101","0","3"
"33","岡山県","33101","岡山市北区","331010013001","出石町一丁目","34.669440","133.931855","0","3"
"33","岡山県","33101","岡山市北区","331010013002","出石町二丁目","34.672968","133.931219","0","3"
"33","岡山県","33101","岡山市北区","331010014000","いずみ町","34.678620","133.916937","0","1"
"33","岡山県","33101","岡山市北区","331010015000","一宮","34.676501","133.866269","0","1"
"33","岡山県","33101","岡山市北区","331010016000","一宮山崎","34.683507","133.873545","0","1"
"33","岡山県","33101","岡山市北区","331010017001","伊福町一丁目","34.670514","133.914670","0","3"
"33","岡山県","33101","岡山市北区","331010017002","伊福町二丁目","34.673363","133.915839","0","3"
"33","岡山県","33101","岡山市北区","331010017003","伊福町三丁目","34.673331","133.912782","0","3"
"33","岡山県","33101","岡山市北区","331010017004","伊福町四丁目","34.672843","133.909925","0","3"
"33","岡山県","33101","岡山市北区","331010018001","今一丁目","34.651478","133.894790","0","3"
"33","岡山県","33101","岡山市北区","331010018002","今二丁目","34.648376","133.896819","0","3"
"33","岡山県","33101","岡山市北区","331010018003","今三丁目","34.648022","133.893101","0","3"
"33","岡山県","33101","岡山市北区","331010018004","今四丁目","34.644931","133.893243","0","3"
"33","岡山県","33101","岡山市北区","331010018005","今五丁目","34.645284","133.896958","0","3"
"33","岡山県","33101","岡山市北区","331010018006","今六丁目","34.642137","133.897103","0","3"
"33","岡山県","33101","岡山市北区","331010018007","今七丁目","34.641834","133.893374","0","3"
"33","岡山県","33101","岡山市北区","331010018008","今八丁目","34.638161","133.893463","0","3"
"33","岡山県","33101","岡山市北区","331010019000","今岡","34.690124","133.870389","0","1"
"33","岡山県","33101","岡山市北区","331010020000","今保","34.637752","133.873340","0","1"
"33","岡山県","33101","岡山市北区","331010021000","今村","34.639527","133.895956","0","1"
"33","岡山県","33101","岡山市北区","331010022001","岩井一丁目","34.670541","133.896678","0","3"
"33","岡山県","33101","岡山市北区","331010022002","岩井二丁目","34.671793","133.894032","0","3"
"33","岡山県","33101","岡山市北区","331010023000","岩井宮裏","34.671736","133.903924","0","1"
"33","岡山県","33101","岡山市北区","331010024000","岩田町","34.669945","133.921586","0","1"
"33","岡山県","33101","岡山市北区","331010025001","内山下一丁目","34.660792","133.931620","0","3"
"33","岡山県","33101","岡山市北区","331010025002","内山下二丁目","34.660804","133.934510","0","3"
"33","岡山県","33101","岡山市北区","331010026001","駅前町一丁目","34.666383","133.921012","0","3"
"33","岡山県","33101","岡山市北区","331010026002","駅前町二丁目","34.667975","133.921211","0","3"
"33","岡山県","33101","岡山市北区","331010027000","駅元町","34.665420","133.916729","0","1"
"33","岡山県","33101","岡山市北区","331010028000","絵図町","34.676074","133.919628","0","1"
"33","岡山県","33101","岡山市北区","331010029000","大井","34.742895","133.805314","0","1"
"33","岡山県","33101","岡山市北区","331010030000","大内田","34.626791","133.839692","0","1"
"33","岡山県","33101","岡山市北区","331010031000","大窪","34.696721","133.849857","0","1"
"33","岡山県","33101","岡山市北区","331010032000","大崎","34.705642","133.817162","0","1"
"33","岡山県","33101","岡山市北区","331010033001","大元一丁目","34.645801","133.903641","0","3"
"33","岡山県","33101","岡山市北区","331010033002","大元二丁目","34.642684","133.903783","0","3"
"33","岡山県","33101","岡山市北区","331010034000","大元駅前","34.645956","133.911818","0","1"
"33","岡山県","33101","岡山市北区","331010035000","大元上町","34.648700","133.900441","0","1"
"33","岡山県","33101","岡山市北区","331010036000","岡町","34.649482","133.922444","0","1"
"33","岡山県","33101","岡山市北区","331010037001","奥田一丁目","34.645624","133.924070","0","3"
"33","岡山県","33101","岡山市北区","331010037002","奥田二丁目","34.643247","133.922030","0","3"
"33","岡山県","33101","岡山市北区","331010038000","奥田西町","34.643206","133.917707","0","1"
"33","岡山県","33101","岡山市北区","331010039000","奥田本町","34.645948","133.921353","0","1"
"33","岡山県","33101","岡山市北区","331010040000","奥田南町","34.641664","133.921840","0","1"
"33","岡山県","33101","岡山市北区","331010041000","尾上","34.665607","133.865526","0","1"
"33","岡山県","33101","岡山市北区","331010042000","御舟入町","34.637790","133.934466","0","1"
"33","岡山県","33101","岡山市北区","331010043001","表町一丁目","34.663989","133.929508","0","3"
"33","岡山県","33101","岡山市北区","331010043002","表町二丁目","34.660825","133.929562","0","3"
"33","岡山県","33101","岡山市北区","331010043003","表町三丁目","34.657840","133.928351","0","3"
"33","岡山県","33101","岡山市北区","331010044000","栢谷","34.728894","133.920094","0","1"
"33","岡山県","33101","岡山市北区","331010045001","学南町一丁目","34.679556","133.922889","0","3"
"33","岡山県","33101","岡山市北区","331010045002","学南町二丁目","34.682944","133.921635","0","3"
"33","岡山県","33101","岡山市北区","331010045003","学南町三丁目","34.683573","133.925339","0","3"
"33","岡山県","33101","岡山市北区","331010046000","掛畑","34.807153","133.799380","0","1"
"33","岡山県","33101","岡山市北区","331010047000","春日町","34.653835","133.921474","0","1"
"33","岡山県","33101","岡山市北区","331010048000","金山寺","34.735753","133.947402","0","1"
"33","岡山県","33101","岡山市北区","331010049000","上高田","34.784047","133.831445","0","1"
"33","岡山県","33101","岡山市北区","331010050000","上土田","34.708159","133.808509","0","1"
"33","岡山県","33101","岡山市北区","331010051001","上中野一丁目","34.645585","133.900577","0","3"
"33","岡山県","33101","岡山市北区","331010051002","上中野二丁目","34.642400","133.900788","0","3"
"33","岡山県","33101","岡山市北区","331010052000","加茂","34.675298","133.830051","0","1"
"33","岡山県","33101","岡山市北区","331010053000","辛川市場","34.687001","133.864998","0","1"
"33","岡山県","33101","岡山市北区","331010054000","川入","34.658715","133.845341","0","1"
"33","岡山県","33101","岡山市北区","331010055000","河原","34.786821","133.800814","0","1"
"33","岡山県","33101","岡山市北区","331010056000","関西町","34.672123","133.899270","0","1"
"33","岡山県","33101","岡山市北区","331010057001","神田町一丁目","34.639935","133.920092","0","3"
"33","岡山県","33101","岡山市北区","331010057002","神田町二丁目","34.639147","133.923228","0","3"
"33","岡山県","33101","岡山市北区","331010058000","祇園","34.708550","133.958110","0","1"
"33","岡山県","33101","岡山市北区","331010059001","北方一丁目","34.686188","133.930127","0","3"
"33","岡山県","33101","岡山市北区","331010059002","北方二丁目","34.688695","133.930572","0","3"
"33","岡山県","33101","岡山市北区","331010059003","北方三丁目","34.687397","133.933012","0","3"
