"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"06","山形県","06201","山形市","062010045000","大字上反田","38.269387","140.256185","0","1"
"06","山形県","06201","山形市","062010046000","大字上東山","38.282926","140.432696","0","1"
"06","山形県","06201","山形市","062010047000","大字上宝沢","38.212072","140.420690","0","1"
"06","山形県","06201","山形市","062010048000","大字神尾","38.191511","140.367854","0","1"
"06","山形県","06201","山形市","062010049000","大字切畑","38.281604","140.400441","0","1"
"06","山形県","06201","山形市","062010050000","大字黒沢","38.191542","140.302004","0","1"
"06","山形県","06201","山形市","062010051000","大字下東山","38.297457","140.412232","0","1"
"06","山形県","06201","山形市","062010052000","大字下宝沢","38.231790","140.401100","0","1"
"06","山形県","06201","山形市","062010053000","大字釈迦堂","38.240127","140.385814","0","1"
"06","山形県","06201","山形市","062010054000","大字十文字","38.309579","140.373946","0","1"
"06","山形県","06201","山形市","062010055000","大字常明寺","38.266185","140.245765","0","1"
"06","山形県","06201","山形市","062010056000","大字陣場","38.282679","140.303854","0","1"
"06","山形県","06201","山形市","062010057000","大字陣場新田","38.282854","140.298328","0","1"
"06","山形県","06201","山形市","062010058000","大字菅沢","38.225443","140.272772","0","1"
"06","山形県","06201","山形市","062010059000","大字鮨洗","38.291153","140.282324","0","1"
"06","山形県","06201","山形市","062010060000","大字関沢","38.219552","140.454969","0","1"
"06","山形県","06201","山形市","062010061000","大字高沢","38.257437","140.441562","0","1"
"06","山形県","06201","山形市","062010062000","大字滝平","38.267906","140.222431","0","1"
"06","山形県","06201","山形市","062010063000","大字津金沢","38.204067","140.290669","0","1"
"06","山形県","06201","山形市","062010064000","大字土坂","38.202836","140.382413","0","1"
"06","山形県","06201","山形市","062010065000","大字中桜田","38.210506","140.342288","0","1"
"06","山形県","06201","山形市","062010066000","大字中里","38.302105","140.383865","0","1"
"06","山形県","06201","山形市","062010067000","大字中野","38.307506","140.306733","0","1"
"06","山形県","06201","山形市","062010068000","大字中野目","38.332889","140.311796","0","1"
"06","山形県","06201","山形市","062010069000","大字七浦","38.303221","140.339276","0","1"
"06","山形県","06201","山形市","062010070000","大字滑川","38.242188","140.407245","0","1"
"06","山形県","06201","山形市","062010071000","大字成安","38.318395","140.316989","0","1"
"06","山形県","06201","山形市","062010072000","大字二位田","38.222092","140.287115","0","1"
"06","山形県","06201","山形市","062010073000","大字新山","38.230241","140.425661","0","1"
"06","山形県","06201","山形市","062010074000","大字西中野","38.300421","140.299268","0","1"
"06","山形県","06201","山形市","062010075000","大字沼木","38.246405","140.290597","0","1"
"06","山形県","06201","山形市","062010076000","大字灰塚","38.329213","140.321558","0","1"
"06","山形県","06201","山形市","062010077000","大字長谷堂","38.197865","140.262624","0","1"
"06","山形県","06201","山形市","062010078000","大字八森","38.212684","140.384187","0","1"
"06","山形県","06201","山形市","062010079000","大字平清水","38.228120","140.371488","0","1"
"06","山形県","06201","山形市","062010080000","大字船町","38.309414","140.290169","0","1"
"06","山形県","06201","山形市","062010081000","大字古館","38.263651","140.261576","0","1"
"06","山形県","06201","山形市","062010082000","大字前明石","38.230900","140.299658","0","1"
"06","山形県","06201","山形市","062010083000","大字松原","38.198056","140.295032","0","1"
"06","山形県","06201","山形市","062010084000","大字見崎","38.299854","140.320545","0","1"
